,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID
0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1,58.7,31.0,32.56,17.54,18.63,13.46,281.7,61.58,109.6,116.3,123.3,123.7,34.74,20.46,107.2,224.1,25.66,7.524,14.38,9.42,58.83,31.68,27.97,65.44,20.06,137.2,45.03,7.293,150.6,140.7,22.02,31.61,71.89,126.3,10.76,50.17,118.1,38.12,10.4,42.44,128.4,33.65,88.52,75.28,95.96,58.61,49.9,12.26,24.73,94.81,24.32,24.09,25.16,48.71,83.93,20.41,35.19,149.9,140.8,31.22,45.14,108.8,103.9,70.39,123.7,57.55,66.61,52.04,18.06,39.79,27.16,49.79,114.1,88.27,43.16,29.71,224.3,8.936,55.02,8.508,0.9059,184.1,200.5,49.89,24.54,107.6,10.44,58.93,50.71,35.35,118.7,87.8,90.43,125.5,31.41,59.05,86.17,72.43,61.69,38.36
2,56.75,48.63,26.17,20.8,17.08,14.71,251.5,64.65,168.3,115.8,101.6,102.5,181.9,96.32,85.06,203.5,14.79,4.263,21.42,9.706,51.94,33.36,27.42,59.34,15.61,130.4,41.44,5.722,144.4,144.9,17.21,30.65,73.89,129.5,60.85,39.21,120.9,38.81,45.57,19.43,123.1,35.86,88.18,46.98,72.65,60.43,36.82,15.29,23.22,111.6,23.36,21.02,94.32,48.12,57.04,20.52,35.54,172.4,147.7,23.2,40.39,115.6,100.5,81.52,77.9,205.8,67.15,51.6,14.67,33.17,23.21,51.84,91.42,123.2,34.35,53.91,191.0,130.0,135.0,4.639,7.39,165.6,221.6,32.73,22.67,101.4,9.592,114.2,39.74,113.2,120.6,68.1,75.79,203.6,78.8,62.15,137.8,88.1,112.2,40.86
3,105.0,215.4,63.85,22.59,98.71,275.5,224.5,260.0,266.1,203.6,119.3,84.91,183.6,124.7,107.5,218.7,157.9,162.5,118.2,181.3,147.9,50.71,233.1,101.3,86.3,183.3,93.97,118.8,179.0,173.3,78.89,193.7,203.2,152.1,107.7,123.0,192.1,163.8,128.1,20.47,223.2,185.0,86.84,50.93,100.5,198.8,118.6,188.1,149.0,153.5,150.5,159.4,81.23,188.6,52.51,97.28,48.2,238.0,224.9,184.3,107.1,253.6,194.2,161.9,68.43,116.5,181.2,58.99,148.1,77.58,101.2,176.2,92.95,208.7,123.0,189.3,168.7,106.6,221.7,44.87,149.8,215.3,247.1,131.2,30.33,160.7,189.5,298.2,61.07,103.3,148.3,48.45,188.5,218.7,272.4,188.4,319.6,184.1,170.3,158.9
4,225.9,142.6,192.8,374.8,239.1,78.86,212.8,150.9,107.8,119.7,169.0,73.68,86.68,58.98,146.3,181.7,117.4,95.41,77.97,88.04,88.43,169.8,111.1,221.6,344.8,257.2,261.3,192.6,235.9,221.8,222.6,158.0,197.9,342.7,59.35,122.3,237.7,101.4,43.32,242.6,121.9,102.7,228.0,204.7,122.5,124.5,135.9,184.5,143.9,55.59,148.4,140.0,49.6,86.79,160.8,238.3,370.5,91.09,84.94,135.5,285.4,124.7,140.5,78.85,99.39,83.91,149.7,141.8,147.2,233.2,108.9,150.4,167.4,84.42,99.95,82.82,147.2,50.54,86.6,190.6,96.34,261.0,136.1,103.1,163.6,155.8,136.7,63.26,157.4,57.13,271.6,83.5,200.5,115.3,68.33,128.9,99.24,92.83,55.77,75.12
5,261.6,226.2,238.7,287.6,216.6,213.7,205.4,175.8,120.5,138.7,175.7,70.76,235.5,185.4,182.2,168.5,222.3,213.5,237.7,42.4,78.74,187.5,193.8,244.1,214.6,131.8,253.8,18.65,152.2,116.4,227.1,119.0,215.3,131.1,234.4,216.1,182.8,236.1,194.9,226.2,134.4,241.3,175.1,242.8,156.9,260.2,242.7,216.1,46.73,129.8,230.3,207.4,232.0,89.65,309.8,157.1,256.5,92.1,124.1,227.6,220.6,113.8,128.9,231.3,137.5,247.6,122.5,103.7,222.7,217.3,213.3,246.5,179.3,113.4,166.8,211.7,138.1,229.8,227.1,202.9,210.0,139.9,158.0,184.4,44.62,107.6,228.9,76.88,218.1,230.7,148.0,154.3,146.5,158.4,157.5,126.3,145.7,159.5,67.18,194.0
6,114.4,40.28,60.89,50.32,36.07,50.46,185.0,83.95,95.63,152.7,136.1,68.92,62.26,34.43,163.9,162.4,39.39,109.2,262.0,17.3,65.16,142.1,79.07,89.83,39.78,107.9,80.42,4.725,121.0,101.7,34.23,50.85,114.5,114.5,92.29,123.5,135.4,168.1,77.88,88.13,140.2,38.55,133.9,121.4,158.9,138.3,103.9,37.86,21.1,73.72,248.5,48.07,230.5,62.5,123.4,27.84,85.6,49.73,107.4,43.11,34.31,105.2,122.5,90.34,190.4,71.61,147.6,67.66,33.97,50.18,166.8,128.2,133.8,84.62,124.1,64.06,130.1,104.5,73.37,138.1,68.68,121.2,138.9,118.7,27.76,92.12,162.5,48.19,170.5,209.9,135.0,161.0,53.73,146.5,33.19,90.86,74.22,85.2,54.04,124.8
7,237.5,52.44,111.1,104.1,67.92,26.62,165.6,95.68,97.33,331.9,139.9,64.78,117.5,35.22,105.9,174.5,26.63,254.9,480.3,66.8,83.37,283.2,60.72,129.1,54.86,195.2,147.4,5.361,151.3,172.3,36.54,108.7,247.8,112.7,211.4,131.7,210.6,327.8,208.5,51.62,266.4,33.57,123.3,61.91,120.9,250.9,112.4,29.35,23.1,61.02,428.5,71.71,368.8,143.5,95.49,34.89,86.66,51.64,89.85,61.59,42.35,190.7,279.1,43.8,268.7,76.56,332.3,63.53,42.23,82.95,271.1,134.3,104.6,145.4,89.08,107.4,123.3,250.8,91.34,254.6,211.8,155.7,219.4,52.99,38.95,99.98,378.9,47.17,196.9,338.4,260.3,134.4,44.93,280.9,40.88,135.2,75.41,166.4,122.1,266.0
8,806.9,642.9,745.0,846.2,744.1,678.0,214.3,574.5,443.0,729.6,425.2,137.6,770.0,618.2,352.6,315.8,642.6,807.3,1021.0,400.2,401.3,761.0,646.9,705.7,725.0,539.4,779.3,274.4,511.0,456.5,706.2,565.4,743.0,379.1,805.3,656.0,624.3,889.2,716.5,607.2,523.2,663.9,470.9,574.1,389.7,839.7,740.9,676.1,353.7,512.0,960.6,652.6,998.8,507.3,661.3,603.0,682.5,356.7,455.4,717.1,658.2,468.5,676.6,665.7,590.9,693.3,756.7,310.6,705.9,705.9,846.9,649.3,327.2,483.1,561.8,664.5,200.7,810.8,683.5,838.1,794.4,443.4,564.3,577.4,328.3,347.6,902.0,385.0,746.3,915.6,608.3,401.2,549.3,689.0,560.9,548.8,476.1,598.6,416.7,766.6
9,202.5,144.7,143.4,88.51,83.81,118.6,202.4,232.4,118.8,232.3,287.6,191.1,79.52,112.8,371.9,276.9,177.7,171.0,190.7,101.4,205.9,351.0,168.2,162.8,98.47,269.4,130.6,85.49,213.0,129.2,109.2,118.5,139.9,170.5,191.5,307.8,223.9,259.5,108.3,236.6,183.9,179.8,353.6,305.6,439.7,248.5,212.1,129.4,76.37,286.7,285.4,153.7,347.0,147.2,262.7,118.3,252.0,171.5,305.1,117.3,99.62,243.5,334.3,172.8,668.1,172.1,192.0,295.0,122.9,82.53,349.9,369.7,314.9,184.2,299.3,159.1,240.2,236.8,151.2,289.1,79.95,272.2,319.9,297.2,107.6,295.8,131.8,91.66,444.0,319.3,211.5,396.6,115.9,234.2,132.3,278.6,173.7,164.2,145.0,285.4
10,49.7,29.78,18.9,12.32,10.5,22.29,178.7,67.99,91.55,92.44,166.0,182.8,20.33,19.91,164.3,234.9,13.76,13.93,18.73,8.732,65.39,40.31,34.4,39.39,12.75,106.1,29.91,6.396,126.1,103.6,15.98,28.4,67.25,109.2,10.84,69.05,112.7,54.38,8.359,47.48,137.8,15.62,135.9,78.01,190.2,45.64,41.57,17.99,21.65,91.06,24.39,13.44,37.52,39.39,64.7,19.08,36.48,79.05,159.9,13.49,26.43,92.8,97.38,48.37,456.0,35.37,62.65,109.7,16.67,20.16,54.19,69.24,154.5,74.32,84.69,23.97,238.4,9.63,38.73,50.0,1.061,151.6,158.8,60.01,26.19,116.2,7.153,44.1,109.7,34.57,98.75,189.2,43.8,105.5,24.82,66.14,65.68,47.6,51.25,34.92
11,51.63,30.95,18.14,14.5,12.35,10.11,166.8,57.89,95.2,131.1,108.1,149.7,27.39,11.35,79.42,207.8,11.98,27.44,77.38,9.816,44.22,70.83,16.47,37.29,12.92,115.4,29.62,6.61,115.1,118.7,16.94,29.17,74.56,110.0,20.2,37.55,112.3,55.56,7.616,15.62,144.1,15.84,81.28,39.33,91.95,52.75,31.04,20.29,23.4,55.38,74.67,15.48,77.09,60.74,41.74,18.2,28.91,102.3,113.3,12.75,25.84,125.2,147.9,29.18,235.0,35.57,106.9,50.31,17.96,19.5,50.86,40.24,102.3,77.79,31.89,26.84,226.0,28.82,38.53,20.12,10.11,147.6,159.1,17.86,24.83,79.58,44.15,45.73,44.78,79.61,119.0,112.5,40.39,140.8,26.91,52.8,65.47,47.79,73.81,55.33
12,49.66,26.5,15.87,9.952,8.769,11.51,159.4,54.94,89.32,81.2,79.96,116.9,18.2,6.843,43.79,180.0,10.13,8.227,9.928,9.15,37.44,41.51,16.86,30.3,7.85,103.5,25.98,5.066,103.7,120.4,14.05,25.68,66.5,103.9,11.67,30.72,106.2,52.25,9.829,13.27,118.5,10.59,69.07,38.53,45.15,43.52,31.69,17.7,20.82,41.83,15.88,12.29,52.82,35.35,39.9,17.05,27.45,120.3,78.24,11.59,19.84,92.73,103.5,30.54,143.8,37.46,57.74,41.86,13.32,16.46,48.31,38.29,77.67,69.21,20.75,23.19,200.8,20.82,33.57,29.97,2.536,116.4,133.9,18.71,20.66,82.17,7.586,41.97,42.62,32.77,96.01,74.31,34.95,101.6,23.13,57.48,61.21,43.07,60.18,34.01
13,43.75,23.73,12.31,7.33,6.623,8.063,151.6,49.3,83.37,67.7,64.43,85.72,15.1,4.904,33.66,158.8,6.838,2.888,5.624,7.802,33.5,26.63,12.33,24.44,5.094,83.75,22.22,2.689,92.22,117.0,11.53,23.56,62.4,98.86,5.254,26.26,100.2,30.35,3.629,10.37,109.4,6.985,63.34,34.85,29.5,34.28,27.12,14.88,18.59,22.54,11.38,9.842,10.13,31.17,25.71,14.39,22.82,110.3,50.94,8.153,16.19,84.44,89.85,22.92,92.87,26.78,50.46,37.8,10.72,11.64,21.3,33.39,64.26,63.06,18.42,20.76,162.9,6.82,26.68,5.292,0.3647,98.05,108.0,16.83,18.16,65.19,3.532,37.95,25.93,15.01,87.59,49.5,27.53,86.21,19.7,45.67,55.86,37.76,42.88,20.51
14,41.76,22.39,10.64,6.267,5.566,7.358,141.7,46.43,78.88,60.19,54.73,60.49,13.31,2.863,27.69,141.2,6.098,1.88,4.481,7.411,30.17,25.27,10.75,20.36,3.737,74.01,19.96,2.07,82.92,111.3,10.92,24.68,59.85,94.04,4.701,23.26,95.39,28.54,3.255,8.515,101.1,5.334,58.75,32.57,22.32,31.3,25.47,13.95,17.61,14.39,10.06,8.627,6.888,28.6,19.73,13.5,21.05,102.2,34.74,6.796,13.55,79.73,82.14,19.49,58.45,24.06,47.44,33.39,9.425,9.5,18.44,30.42,55.84,58.63,15.58,19.49,140.0,6.435,23.71,2.558,0.2876,84.11,91.47,15.93,16.98,56.39,2.92,35.17,17.63,11.8,82.3,34.87,22.42,79.84,18.17,42.92,51.93,33.82,39.56,17.87
15,116.0,177.4,89.71,64.15,59.72,424.0,138.3,154.1,446.6,202.7,65.51,49.51,456.2,434.6,57.5,162.1,187.1,200.1,211.2,186.7,161.2,83.88,253.1,112.8,70.95,99.68,79.24,114.5,173.2,150.4,103.9,167.3,177.6,131.0,253.9,113.5,210.0,185.0,290.3,22.32,230.9,236.5,55.33,64.5,47.02,188.9,131.6,186.4,214.8,239.1,159.2,216.6,194.5,234.3,58.0,87.95,23.6,264.0,201.2,157.3,118.9,189.7,161.5,305.6,41.87,450.7,124.1,32.16,229.8,75.78,117.2,92.82,69.39,288.0,124.6,257.8,119.8,308.8,311.1,25.88,160.8,132.6,285.9,102.4,61.78,97.29,239.6,484.0,51.16,237.3,86.53,33.66,118.6,292.5,356.3,117.1,282.5,255.6,233.9,182.8
16,446.6,596.8,453.7,741.2,627.7,303.8,160.9,487.5,253.7,158.5,238.4,80.69,233.4,260.2,316.3,162.4,474.4,298.9,215.6,271.1,227.6,298.7,328.7,471.0,694.5,399.7,541.5,463.4,333.1,366.4,614.2,399.8,429.9,589.8,233.0,349.9,392.4,275.2,188.4,554.0,164.7,481.2,296.6,485.0,234.6,350.5,376.5,564.9,370.3,214.0,300.0,399.9,155.0,157.2,381.3,579.5,639.2,246.2,340.4,539.2,720.4,267.5,272.3,336.7,110.0,200.1,317.9,159.3,480.5,592.6,286.5,436.8,300.0,210.2,308.3,332.7,125.4,201.7,346.3,375.6,371.2,389.0,167.2,396.5,356.3,266.2,299.8,211.5,289.3,173.4,372.5,134.3,583.7,185.2,360.9,350.7,472.8,226.3,143.7,226.6
17,286.5,224.8,259.6,290.6,231.3,264.7,164.8,202.5,118.4,158.3,215.4,108.2,256.7,234.7,322.3,156.2,245.3,255.0,307.7,74.9,138.2,222.9,246.6,234.6,223.5,147.1,265.5,41.21,158.1,129.1,253.2,157.3,258.3,118.8,255.1,263.3,199.7,293.4,246.3,305.3,205.1,252.1,270.3,343.6,289.7,261.4,297.2,224.3,66.76,216.1,273.2,212.0,258.4,108.0,378.8,173.4,284.9,91.96,165.6,258.6,217.5,112.8,148.8,282.6,217.4,247.9,175.5,168.5,249.9,249.9,247.4,293.5,305.9,128.2,275.7,217.2,134.2,261.0,232.8,291.7,258.7,120.3,155.1,302.0,68.28,144.4,296.0,83.07,312.6,251.0,159.5,297.4,167.8,167.2,175.2,177.7,150.4,169.1,78.24,209.1
18,433.9,329.0,385.1,427.1,345.8,304.2,177.3,303.4,152.2,328.6,278.5,153.4,362.0,288.4,295.2,197.5,336.4,433.8,577.6,143.3,159.9,437.3,306.9,382.9,355.3,240.8,399.9,64.36,229.4,169.3,335.8,272.6,358.1,137.3,458.3,384.4,325.5,481.1,355.1,332.9,283.7,369.5,242.5,339.1,319.3,467.7,385.5,344.3,91.77,266.3,572.4,349.5,591.1,202.0,399.7,262.9,394.2,146.7,247.7,337.2,308.0,199.4,344.7,315.6,380.8,363.3,350.5,136.8,350.2,307.9,485.8,402.4,282.8,203.1,331.1,356.7,171.2,472.1,353.9,433.7,381.9,193.5,271.3,331.6,115.4,135.4,468.0,112.9,422.9,545.0,269.5,328.3,206.7,307.0,249.9,251.0,197.0,285.0,147.7,423.4
19,282.4,131.7,188.8,187.4,138.9,131.8,177.5,175.9,103.8,334.1,245.7,158.1,166.1,129.4,237.7,217.6,129.7,320.9,494.8,81.51,132.0,398.4,170.5,190.9,136.0,229.8,214.6,35.38,179.0,144.0,136.5,150.1,249.9,114.2,291.3,267.7,218.5,417.0,216.7,177.8,259.5,137.7,227.6,202.0,286.3,333.6,229.1,125.2,55.35,225.3,510.0,145.7,512.0,181.2,212.2,106.8,193.6,93.25,234.6,141.6,115.0,205.4,340.2,155.9,519.8,157.7,330.7,160.4,136.4,136.6,426.7,264.7,219.9,155.6,233.2,173.7,205.4,339.2,165.0,390.1,236.8,197.0,277.3,222.8,62.93,168.9,384.0,67.03,398.3,466.7,255.8,297.0,121.8,295.4,107.9,219.9,112.8,180.5,137.0,373.8
20,354.6,282.9,330.6,405.1,333.9,300.3,195.4,296.8,211.8,415.3,276.7,171.9,350.7,260.0,250.1,261.0,289.7,365.9,615.0,162.6,192.8,443.3,296.8,341.8,334.2,275.6,341.9,113.7,277.9,207.0,296.2,267.9,344.1,204.4,360.7,316.2,311.4,471.7,303.3,295.5,329.7,317.9,251.9,301.5,297.6,379.2,335.7,311.0,162.1,336.1,596.4,302.3,582.1,230.5,357.1,273.8,339.4,168.4,348.2,329.6,303.8,259.9,416.6,305.4,614.0,326.0,421.8,171.3,331.1,312.4,459.6,333.1,242.8,236.6,290.0,310.7,244.3,375.5,330.3,431.6,331.0,275.8,337.1,282.6,146.4,199.6,468.3,171.1,409.2,526.5,310.5,297.7,277.3,354.0,268.7,257.9,239.0,272.7,185.9,424.2
21,236.6,200.5,216.3,262.3,194.3,202.1,201.0,212.2,140.5,269.0,227.3,163.3,206.7,183.7,252.2,236.6,207.3,210.9,343.6,86.98,134.9,257.6,210.7,225.4,202.8,195.4,228.3,63.18,215.7,136.0,206.3,163.4,232.5,144.1,216.9,226.4,217.2,277.0,175.0,218.2,201.0,225.1,205.2,251.3,271.8,230.2,239.1,201.8,86.41,291.2,337.9,189.7,347.7,135.4,272.8,167.4,240.1,140.6,294.9,204.0,202.4,166.6,280.5,225.4,555.4,219.0,249.6,139.7,212.2,194.2,277.2,249.2,210.5,155.5,225.7,195.6,251.8,215.9,218.4,258.7,188.1,228.3,258.9,239.4,84.22,164.3,231.9,110.2,282.2,300.7,183.8,255.8,195.5,224.6,171.4,177.4,170.1,175.3,111.9,241.8
22,109.3,95.95,84.77,146.2,91.88,79.65,197.1,117.0,102.2,146.4,171.9,135.5,105.6,91.33,172.5,214.3,74.27,86.75,138.2,27.0,86.2,102.1,89.04,125.3,101.4,128.8,102.9,17.82,159.2,113.3,79.11,88.22,140.1,111.8,91.96,129.2,146.3,106.8,72.81,99.8,156.6,96.23,133.0,126.7,182.2,106.2,100.3,91.49,38.54,180.0,143.4,81.82,141.4,66.41,139.8,72.66,96.81,107.1,224.1,88.15,108.0,108.5,161.2,102.9,381.7,103.4,115.6,88.82,96.82,94.83,114.4,126.0,165.7,96.03,123.1,90.38,226.5,77.32,116.6,92.58,77.95,184.9,201.9,116.4,39.01,114.2,96.08,59.96,136.5,136.1,112.7,183.3,116.8,134.7,76.99,88.92,93.96,93.25,62.31,104.9
23,259.2,201.5,236.8,220.3,193.2,209.3,201.6,239.8,217.8,263.0,209.6,133.7,193.2,183.6,199.1,216.3,229.8,224.4,209.8,146.8,177.0,236.3,217.8,255.5,195.3,265.8,249.1,159.0,280.9,247.6,232.2,210.4,251.4,259.8,228.1,231.6,268.2,255.0,211.9,214.0,205.4,248.0,166.8,241.8,200.0,251.5,265.5,212.2,190.9,311.3,199.9,222.9,234.9,205.3,296.8,185.8,236.9,276.2,342.1,231.9,217.1,238.8,301.8,249.8,300.3,245.7,218.1,100.6,228.9,222.4,240.8,237.4,203.4,222.8,204.4,216.8,222.9,198.4,225.5,216.7,190.5,338.2,340.8,216.2,172.9,189.1,181.8,195.7,217.4,243.3,210.8,184.5,266.4,243.3,194.7,206.8,208.6,225.0,186.4,224.6
24,52.57,26.55,20.95,12.95,12.71,26.7,186.7,72.51,94.38,91.03,133.3,122.0,26.89,25.59,151.3,189.2,15.86,9.284,9.972,9.13,79.47,32.15,40.99,51.83,17.89,116.1,31.65,7.02,136.2,129.7,17.66,47.65,68.21,104.6,10.93,80.03,115.9,44.84,9.963,54.78,127.5,25.19,128.9,92.96,150.1,44.25,54.29,21.76,22.6,113.6,13.9,16.41,25.16,39.76,87.36,18.76,36.24,147.9,148.2,20.79,33.7,94.13,118.0,62.96,201.1,41.19,53.26,91.07,19.75,27.89,46.77,73.22,137.4,76.5,91.4,24.73,190.1,8.157,45.58,44.54,1.157,154.4,172.3,80.96,22.86,126.6,5.435,46.66,98.97,30.17,93.8,139.4,74.01,102.6,24.81,70.73,69.89,59.54,52.85,38.17
25,50.26,26.13,18.94,11.73,11.71,9.501,170.3,62.56,94.7,85.04,99.66,108.8,36.76,10.25,90.13,171.6,9.843,5.282,8.021,8.798,47.38,24.6,18.7,45.48,13.68,104.4,29.69,4.479,122.5,128.2,13.16,43.2,65.46,103.0,7.236,38.77,112.3,28.14,4.311,15.52,118.3,21.08,84.65,41.11,93.11,41.23,31.83,19.27,21.32,65.61,13.45,15.49,15.24,37.67,54.91,16.13,28.18,133.3,100.9,17.82,31.02,93.15,106.9,31.93,134.4,40.76,51.38,51.42,17.47,23.29,23.63,43.22,97.75,74.53,35.81,24.63,161.0,8.187,40.19,5.063,0.6745,134.1,152.0,23.1,20.05,83.44,4.62,45.97,35.21,22.58,93.42,92.06,61.64,98.84,24.61,50.93,68.95,57.8,50.43,30.99
26,54.61,26.74,18.51,16.27,10.89,9.236,163.2,61.66,98.7,84.56,83.65,95.0,36.66,8.917,57.1,161.3,9.715,3.634,12.54,8.851,40.91,27.78,18.11,44.2,10.76,98.94,29.18,3.594,118.1,139.2,16.73,40.97,66.36,103.8,15.16,31.69,115.7,28.41,8.684,10.43,114.1,20.54,73.02,39.67,56.9,45.23,35.28,19.14,22.16,53.44,13.1,15.02,36.34,37.26,47.4,16.14,28.48,132.2,73.01,16.74,29.13,94.06,101.6,41.58,86.74,72.85,51.33,45.22,16.25,23.87,25.14,40.87,77.18,77.42,22.22,28.38,149.7,25.03,38.48,3.174,0.5389,120.9,148.3,20.69,21.94,76.42,4.209,47.08,22.14,21.82,94.62,68.6,52.32,102.5,26.32,51.84,69.66,60.26,58.86,31.19
27,77.15,202.4,70.53,43.6,54.32,359.6,156.5,213.0,436.0,232.8,78.21,87.47,669.1,616.2,92.79,175.2,154.4,102.5,128.6,145.0,152.6,58.85,210.1,75.87,22.56,134.4,65.78,83.61,159.6,144.8,50.77,127.6,128.3,123.5,388.3,109.9,173.2,221.0,430.5,17.88,197.3,239.5,69.48,53.99,124.4,173.2,111.2,161.9,117.7,542.1,107.8,175.3,324.6,197.6,59.72,66.53,38.55,472.5,379.7,100.6,50.06,274.8,184.9,447.9,65.07,665.8,91.94,51.6,125.8,45.52,116.8,157.1,71.06,412.7,289.6,284.1,143.9,465.3,382.5,19.66,130.3,157.0,449.3,212.8,43.82,142.1,108.3,486.1,47.01,378.0,98.23,46.42,106.5,464.8,410.7,186.2,447.2,280.7,403.6,184.7
28,638.9,814.5,650.3,928.5,800.2,636.4,201.5,770.9,619.9,356.8,382.3,141.0,300.6,321.9,522.8,240.7,758.4,547.3,409.4,648.5,480.4,427.0,709.0,733.4,1076.0,584.7,779.4,837.9,581.4,538.0,874.4,812.0,753.9,658.0,268.3,528.9,658.4,404.3,238.0,487.5,392.2,723.8,242.6,420.0,373.1,517.0,588.8,866.4,789.1,227.3,558.6,723.1,195.0,454.7,230.0,804.3,705.6,344.6,546.7,828.3,1032.0,460.5,483.3,413.3,164.2,224.3,551.0,208.7,814.4,812.4,435.7,596.8,280.5,358.7,371.8,556.2,174.7,230.7,576.2,484.0,628.4,653.2,249.5,527.3,460.3,443.7,648.5,592.9,374.5,203.2,578.6,125.1,884.2,275.8,627.8,529.6,620.9,431.7,263.9,391.6
29,425.0,365.0,448.1,605.6,469.0,358.2,218.5,327.4,167.8,211.9,364.8,190.2,378.3,314.6,415.2,211.7,367.9,363.0,380.1,123.4,191.8,363.6,338.6,410.7,404.2,264.2,451.9,111.7,261.4,167.5,419.3,268.3,328.5,249.8,394.4,383.1,322.9,367.6,321.6,705.9,215.7,410.0,548.0,684.7,363.7,403.2,430.5,372.7,119.9,318.4,386.2,336.3,379.3,151.9,933.8,378.4,697.8,144.7,223.0,403.1,373.7,157.7,242.5,375.5,308.1,381.0,225.5,295.2,387.5,381.2,342.2,442.2,515.5,183.3,330.6,342.0,195.5,389.3,373.8,454.4,365.4,237.0,227.4,362.2,194.7,202.5,381.3,131.7,434.7,370.7,242.4,480.4,309.4,231.1,276.6,240.8,234.3,272.5,111.1,332.5
